"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 17:41:19 GMT 2025","Tue Apr 15 17:41:20 GMT 2025","1443","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Apr 15 17:41:19 GMT 2025","Tue Apr 15 17:41:20 GMT 2025","1335","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Apr 15 17:41:28 GMT 2025","Tue Apr 15 17:41:30 GMT 2025","2319","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Apr 15 17:41:25 GMT 2025","Tue Apr 15 17:41:26 GMT 2025","1429","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Apr 15 17:41:21 GMT 2025","Tue Apr 15 17:41:22 GMT 2025","1203","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Apr 15 17:41:23 GMT 2025","Tue Apr 15 17:41:25 GMT 2025","1802","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Apr 15 17:41:28 GMT 2025","Tue Apr 15 17:41:30 GMT 2025","2678","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Apr 15 17:41:31 GMT 2025","Tue Apr 15 17:41:32 GMT 2025","1215","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Apr 15 17:41:26 GMT 2025","Tue Apr 15 17:41:27 GMT 2025","1011","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Apr 15 17:41:21 GMT 2025","Tue Apr 15 17:41:24 GMT 2025","2913","LMS system","Authentication","Authorization","","","User login with correct email and password",""
